2020-04-06 05:22:39 startup archives install
2020-04-06 05:22:39 install mawk:armhf <none> 1.3.3-17ubuntu2
2020-04-06 05:22:39 status half-installed mawk:armhf 1.3.3-17ubuntu2
2020-04-06 05:22:39 status unpacked mawk:armhf 1.3.3-17ubuntu2
2020-04-06 05:22:39 status unpacked mawk:armhf 1.3.3-17ubuntu2
2020-04-06 05:22:39 configure mawk:armhf 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2020-04-06 05:22:39 status unpacked mawk:armhf 1.3.3-17ubuntu2
2020-04-06 05:22:39 status half-configured mawk:armhf 1.3.3-17ubuntu2
2020-04-06 05:22:39 status installed mawk:armhf 1.3.3-17ubuntu2
2020-04-06 05:22:39 startup archives install
2020-04-06 05:22:39 install debconf:all <none> 1.5.58ubuntu1
2020-04-06 05:22:39 status half-installed debconf:all 1.5.58ubuntu1
2020-04-06 05:22:39 status unpacked debconf:all 1.5.58ubuntu1
2020-04-06 05:22:39 status unpacked debconf:all 1.5.58ubuntu1
2020-04-06 05:22:39 configure debconf:all 1.5.58ubuntu1 1.5.58ubuntu1
2020-04-06 05:22:39 status unpacked debconf:all 1.5.58ubuntu1
2020-04-06 05:22:39 status unpacked debconf:all 1.5.58ubuntu1
2020-04-06 05:22:39 status unpacked debconf:all 1.5.58ubuntu1
2020-04-06 05:22:39 status half-configured debconf:all 1.5.58ubuntu1
2020-04-06 05:22:39 status installed debconf:all 1.5.58ubuntu1
2020-04-06 05:22:39 startup archives unpack
2020-04-06 05:22:39 install adduser:all <none> 3.113+nmu3ubuntu4
2020-04-06 05:22:39 status half-installed adduser:all 3.113+nmu3ubuntu4
2020-04-06 05:22:39 status unpacked adduser:all 3.113+nmu3ubuntu4
2020-04-06 05:22:40 status unpacked adduser:all 3.113+nmu3ubuntu4
2020-04-06 05:22:40 upgrade base-files:armhf 9.4ubuntu4 9.4ubuntu4
2020-04-06 05:22:40 status half-configured base-files:armhf 9.4ubuntu4
2020-04-06 05:22:40 status unpacked base-files:armhf 9.4ubuntu4
2020-04-06 05:22:40 status half-installed base-files:armhf 9.4ubuntu4
2020-04-06 05:22:40 status half-installed base-files:armhf 9.4ubuntu4
2020-04-06 05:22:40 status unpacked base-files:armhf 9.4ubuntu4
2020-04-06 05:22:40 status unpacked base-files:armhf 9.4ubuntu4
2020-04-06 05:22:40 upgrade base-passwd:armhf 3.5.39 3.5.39
2020-04-06 05:22:40 status half-configured base-passwd:armhf 3.5.39
2020-04-06 05:22:40 status unpacked base-passwd:armhf 3.5.39
2020-04-06 05:22:40 status half-installed base-passwd:armhf 3.5.39
2020-04-06 05:22:40 status half-installed base-passwd:armhf 3.5.39
2020-04-06 05:22:40 status unpacked base-passwd:armhf 3.5.39
2020-04-06 05:22:40 status unpacked base-passwd:armhf 3.5.39
2020-04-06 05:22:40 install bash:armhf <none> 4.3-14ubuntu1
2020-04-06 05:22:40 status half-installed bash:armhf 4.3-14ubuntu1
2020-04-06 05:22:40 status unpacked bash:armhf 4.3-14ubuntu1
2020-04-06 05:22:40 status unpacked bash:armhf 4.3-14ubuntu1
2020-04-06 05:22:40 install bsdutils:armhf <none> 1:2.27.1-6ubuntu3
2020-04-06 05:22:40 status half-installed bsdutils:armhf 1:2.27.1-6ubuntu3
2020-04-06 05:22:40 status unpacked bsdutils:armhf 1:2.27.1-6ubuntu3
2020-04-06 05:22:40 status unpacked bsdutils:armhf 1:2.27.1-6ubuntu3
2020-04-06 05:22:40 install coreutils:armhf <none> 8.25-2ubuntu2
2020-04-06 05:22:40 status half-installed coreutils:armhf 8.25-2ubuntu2
2020-04-06 05:22:40 status unpacked coreutils:armhf 8.25-2ubuntu2
2020-04-06 05:22:40 status unpacked coreutils:armhf 8.25-2ubuntu2
2020-04-06 05:22:40 install dash:armhf <none> 0.5.8-2.1ubuntu2
2020-04-06 05:22:40 status half-installed dash:armhf 0.5.8-2.1ubuntu2
2020-04-06 05:22:40 status unpacked dash:armhf 0.5.8-2.1ubuntu2
2020-04-06 05:22:40 status unpacked dash:armhf 0.5.8-2.1ubuntu2
2020-04-06 05:22:40 upgrade debconf:all 1.5.58ubuntu1 1.5.58ubuntu1
2020-04-06 05:22:40 status half-configured debconf:all 1.5.58ubuntu1
2020-04-06 05:22:40 status unpacked debconf:all 1.5.58ubuntu1
2020-04-06 05:22:40 status half-installed debconf:all 1.5.58ubuntu1
2020-04-06 05:22:40 status half-installed debconf:all 1.5.58ubuntu1
2020-04-06 05:22:40 status unpacked debconf:all 1.5.58ubuntu1
2020-04-06 05:22:40 status unpacked debconf:all 1.5.58ubuntu1
2020-04-06 05:22:40 install debianutils:armhf <none> 4.7
2020-04-06 05:22:40 status half-installed debianutils:armhf 4.7
2020-04-06 05:22:40 status unpacked debianutils:armhf 4.7
2020-04-06 05:22:40 status unpacked debianutils:armhf 4.7
2020-04-06 05:22:40 install diffutils:armhf <none> 1:3.3-3
2020-04-06 05:22:40 status half-installed diffutils:armhf 1:3.3-3
2020-04-06 05:22:40 status unpacked diffutils:armhf 1:3.3-3
2020-04-06 05:22:40 status unpacked diffutils:armhf 1:3.3-3
2020-04-06 05:22:40 upgrade dpkg:armhf 1.18.4ubuntu1 1.18.4ubuntu1
2020-04-06 05:22:40 status half-configured dpkg:armhf 1.18.4ubuntu1
2020-04-06 05:22:40 status unpacked dpkg:armhf 1.18.4ubuntu1
2020-04-06 05:22:40 status half-installed dpkg:armhf 1.18.4ubuntu1
2020-04-06 05:22:40 status half-installed dpkg:armhf 1.18.4ubuntu1
2020-04-06 05:22:40 status unpacked dpkg:armhf 1.18.4ubuntu1
2020-04-06 05:22:40 status unpacked dpkg:armhf 1.18.4ubuntu1
2020-04-06 05:22:40 install e2fslibs:armhf <none> 1.42.13-1ubuntu1
2020-04-06 05:22:40 status half-installed e2fslibs:armhf 1.42.13-1ubuntu1
2020-04-06 05:22:40 status unpacked e2fslibs:armhf 1.42.13-1ubuntu1
2020-04-06 05:22:40 status unpacked e2fslibs:armhf 1.42.13-1ubuntu1
2020-04-06 05:22:40 install e2fsprogs:armhf <none> 1.42.13-1ubuntu1
2020-04-06 05:22:40 status half-installed e2fsprogs:armhf 1.42.13-1ubuntu1
2020-04-06 05:22:40 status unpacked e2fsprogs:armhf 1.42.13-1ubuntu1
2020-04-06 05:22:41 status unpacked e2fsprogs:armhf 1.42.13-1ubuntu1
2020-04-06 05:22:41 install findutils:armhf <none> 4.6.0+git+20160126-2
2020-04-06 05:22:41 status half-installed findutils:armhf 4.6.0+git+20160126-2
2020-04-06 05:22:41 status unpacked findutils:armhf 4.6.0+git+20160126-2
2020-04-06 05:22:41 status unpacked findutils:armhf 4.6.0+git+20160126-2
2020-04-06 05:22:41 install gcc-6-base:armhf <none> 6.0.1-0ubuntu1
2020-04-06 05:22:41 status half-installed gcc-6-base:armhf 6.0.1-0ubuntu1
2020-04-06 05:22:41 status unpacked gcc-6-base:armhf 6.0.1-0ubuntu1
2020-04-06 05:22:41 status unpacked gcc-6-base:armhf 6.0.1-0ubuntu1
2020-04-06 05:22:41 install grep:armhf <none> 2.24-1
2020-04-06 05:22:41 status half-installed grep:armhf 2.24-1
2020-04-06 05:22:41 status unpacked grep:armhf 2.24-1
2020-04-06 05:22:41 status unpacked grep:armhf 2.24-1
2020-04-06 05:22:41 install gzip:armhf <none> 1.6-4ubuntu1
2020-04-06 05:22:41 status half-installed gzip:armhf 1.6-4ubuntu1
2020-04-06 05:22:41 status unpacked gzip:armhf 1.6-4ubuntu1
2020-04-06 05:22:41 status unpacked gzip:armhf 1.6-4ubuntu1
2020-04-06 05:22:41 install hostname:armhf <none> 3.16ubuntu2
2020-04-06 05:22:41 status half-installed hostname:armhf 3.16ubuntu2
2020-04-06 05:22:41 status unpacked hostname:armhf 3.16ubuntu2
2020-04-06 05:22:41 status unpacked hostname:armhf 3.16ubuntu2
2020-04-06 05:22:41 install init:armhf <none> 1.29ubuntu1
2020-04-06 05:22:41 status half-installed init:armhf 1.29ubuntu1
2020-04-06 05:22:41 status unpacked init:armhf 1.29ubuntu1
2020-04-06 05:22:41 status unpacked init:armhf 1.29ubuntu1
2020-04-06 05:22:41 install init-system-helpers:all <none> 1.29ubuntu1
2020-04-06 05:22:41 status half-installed init-system-helpers:all 1.29ubuntu1
2020-04-06 05:22:41 status unpacked init-system-helpers:all 1.29ubuntu1
2020-04-06 05:22:41 status unpacked init-system-helpers:all 1.29ubuntu1
2020-04-06 05:22:41 install initscripts:armhf <none> 2.88dsf-59.3ubuntu2
2020-04-06 05:22:41 status half-installed initscripts:armhf 2.88dsf-59.3ubuntu2
2020-04-06 05:22:41 status unpacked initscripts:armhf 2.88dsf-59.3ubuntu2
2020-04-06 05:22:41 status unpacked initscripts:armhf 2.88dsf-59.3ubuntu2
2020-04-06 05:22:41 install insserv:armhf <none> 1.14.0-5ubuntu3
2020-04-06 05:22:41 status half-installed insserv:armhf 1.14.0-5ubuntu3
2020-04-06 05:22:41 status unpacked insserv:armhf 1.14.0-5ubuntu3
2020-04-06 05:22:41 status unpacked insserv:armhf 1.14.0-5ubuntu3
2020-04-06 05:22:41 install libacl1:armhf <none> 2.2.52-3
2020-04-06 05:22:41 status half-installed libacl1:armhf 2.2.52-3
2020-04-06 05:22:41 status unpacked libacl1:armhf 2.2.52-3
2020-04-06 05:22:41 status unpacked libacl1:armhf 2.2.52-3
2020-04-06 05:22:41 install libapparmor1:armhf <none> 2.10.95-0ubuntu2
2020-04-06 05:22:41 status half-installed libapparmor1:armhf 2.10.95-0ubuntu2
2020-04-06 05:22:41 status unpacked libapparmor1:armhf 2.10.95-0ubuntu2
2020-04-06 05:22:41 status unpacked libapparmor1:armhf 2.10.95-0ubuntu2
2020-04-06 05:22:41 install libattr1:armhf <none> 1:2.4.47-2
2020-04-06 05:22:41 status half-installed libattr1:armhf 1:2.4.47-2
2020-04-06 05:22:41 status unpacked libattr1:armhf 1:2.4.47-2
2020-04-06 05:22:41 status unpacked libattr1:armhf 1:2.4.47-2
2020-04-06 05:22:41 install libaudit-common:all <none> 1:2.4.5-1ubuntu2
2020-04-06 05:22:41 status half-installed libaudit-common:all 1:2.4.5-1ubuntu2
2020-04-06 05:22:41 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2020-04-06 05:22:41 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2020-04-06 05:22:41 install libaudit1:armhf <none> 1:2.4.5-1ubuntu2
2020-04-06 05:22:41 status half-installed libaudit1:armhf 1:2.4.5-1ubuntu2
2020-04-06 05:22:41 status unpacked libaudit1:armhf 1:2.4.5-1ubuntu2
2020-04-06 05:22:41 status unpacked libaudit1:armhf 1:2.4.5-1ubuntu2
2020-04-06 05:22:41 install libblkid1:armhf <none> 2.27.1-6ubuntu3
2020-04-06 05:22:41 status half-installed libblkid1:armhf 2.27.1-6ubuntu3
2020-04-06 05:22:41 status unpacked libblkid1:armhf 2.27.1-6ubuntu3
2020-04-06 05:22:41 status unpacked libblkid1:armhf 2.27.1-6ubuntu3
2020-04-06 05:22:41 install libbz2-1.0:armhf <none> 1.0.6-8
2020-04-06 05:22:41 status half-installed libbz2-1.0:armhf 1.0.6-8
2020-04-06 05:22:41 status unpacked libbz2-1.0:armhf 1.0.6-8
2020-04-06 05:22:41 status unpacked libbz2-1.0:armhf 1.0.6-8
2020-04-06 05:22:41 install libc-bin:armhf <none> 2.23-0ubuntu3
2020-04-06 05:22:41 status half-installed libc-bin:armhf 2.23-0ubuntu3
2020-04-06 05:22:41 status unpacked libc-bin:armhf 2.23-0ubuntu3
2020-04-06 05:22:41 status unpacked libc-bin:armhf 2.23-0ubuntu3
2020-04-06 05:22:41 upgrade libc6:armhf 2.23-0ubuntu3 2.23-0ubuntu3
2020-04-06 05:22:41 status half-configured libc6:armhf 2.23-0ubuntu3
2020-04-06 05:22:41 status unpacked libc6:armhf 2.23-0ubuntu3
2020-04-06 05:22:41 status half-installed libc6:armhf 2.23-0ubuntu3
2020-04-06 05:22:42 status half-installed libc6:armhf 2.23-0ubuntu3
2020-04-06 05:22:42 status unpacked libc6:armhf 2.23-0ubuntu3
